"First Name","Last Name","Date of Birth (Y-m-d)",State,Sex,"Height (cm)","Weight (KG)"
Norbert,Beahan,1986-12-17,NewJersey,male,178,121
Stefanie,Abshire,1976-12-24,Arizona,male,176,158
Judson,Satterfield,1990-05-12,California,male,164,109
Lyda,Hane,1983-01-05,Idaho,male,183,102
Maybell,Schimmel,1968-12-21,NewYork,female,156,74
Frida,Berge,1969-05-27,NewHampshire,female,179,139
Eve,West,1986-04-24,Hawaii,male,164,158
Estel,Ernser,1978-08-31,RhodeIsland,male,162,128
Leopoldo,Williamson,1989-05-05,Maryland,male,157,119
Geo,McDermott,1992-11-17,NorthCarolina,female,152,82
Arnoldo,Haley,1977-10-27,Connecticut,male,170,143
Mozelle,Gutkowski,1966-09-15,NewHampshire,male,190,89
Gunner,Schiller,1974-08-02,NorthCarolina,female,199,120
Lura,Thiel,1990-01-01,Utah,male,162,82
Harry,Langosh,1982-05-02,Virginia,male,179,96
Willow,Kassulke,1972-12-23,Georgia,male,169,159
Quinten,Legros,1978-11-29,Iowa,male,157,80
Juliana,Dickinson,1989-02-03,Oklahoma,female,168,108
Vella,Schimmel,1982-07-29,Georgia,female,188,123
Urban,Toy,1974-06-23,Georgia,female,197,129
Simeon,Mayert,1993-08-03,Idaho,female,176,63
Velva,Jakubowski,1990-08-14,SouthCarolina,male,188,151
Scarlett,Monahan,1972-05-24,Utah,female,199,147
Addie,Jakubowski,1979-06-30,Wisconsin,female,186,64
Myrtle,Shanahan,1991-06-18,Massachusetts,male,197,128
Dario,Ondricka,1971-04-28,Massachusetts,male,169,58
Liliane,Johnson,1991-04-28,Missouri,female,181,74
Maud,O'Conner,1976-11-21,Florida,male,193,116
Aiyana,Pfannerstill,1964-05-26,Oklahoma,female,190,88
Mallie,Moen,1975-09-25,Washington,female,168,80
Sarai,Rodriguez,1974-03-29,Indiana,female,160,137
Shana,Stoltenberg,1967-08-27,Tennessee,female,196,109
Shaniya,Rohan,1972-09-14,Louisiana,male,199,105
Jaquan,Kovacek,1992-08-21,SouthDakota,female,183,73
Heber,Steuber,1978-10-21,Delaware,male,182,65
Kaylie,Ullrich,1993-03-01,NewYork,male,151,106
Andreanne,Zemlak,1979-12-13,NewHampshire,female,171,64
Werner,Turcotte,1991-12-22,Alabama,male,154,159
Lacey,Rath,1981-10-15,Hawaii,female,164,136
Antonia,Rutherford,1979-04-25,Arkansas,female,156,64
Alexandrine,Brekke,1979-06-07,Idaho,female,186,88
Adonis,Koch,1976-09-03,Louisiana,male,170,78
Burley,Koss,1982-04-15,Michigan,female,150,74
Howell,Botsford,1972-04-10,Nebraska,female,175,146
Marietta,Maggio,1986-06-13,NewMexico,male,156,106
Kellie,Swaniawski,1975-01-03,Missouri,female,173,110
Abe,Lubowitz,1978-12-02,Missouri,female,194,157
Wilbert,Bednar,1979-01-12,Minnesota,female,175,55
Neha,Heaney,1977-03-07,NorthDakota,male,186,86
Mortimer,Quigley,1973-12-02,Arizona,female,165,100
Nayeli,Leannon,1991-08-16,Nevada,female,157,68
Pierce,Hermann,1968-12-04,SouthCarolina,male,189,112
Dawson,Volkman,1974-09-11,Oregon,male,198,114
Lazaro,Pfannerstill,1983-08-05,Missouri,male,181,59
Dee,Hermiston,1983-06-17,Idaho,female,175,73
Unique,Hickle,1974-08-26,Iowa,male,176,124
Marge,Hahn,1965-03-25,NewHampshire,male,152,109
Porter,Schmeler,1993-09-22,Wyoming,male,185,53
Providenci,Kiehn,1982-05-29,Florida,female,167,133
Mia,Bauch,1990-09-29,Hawaii,male,189,55
Myron,Romaguera,1977-01-25,Minnesota,male,167,71
Tremaine,Schaden,1978-09-12,Ohio,female,162,158
Edgar,Littel,1990-09-07,Florida,male,170,153
Itzel,Wilderman,1975-12-01,Ohio,male,189,111
Sigmund,Quitzon,1989-11-24,Vermont,female,150,56
Kenneth,Breitenberg,1988-09-12,Minnesota,male,189,113
Sean,Terry,1978-03-26,Montana,female,153,118
Marlin,Hamill,1964-12-02,Ohio,female,167,86
Magdalen,Wuckert,1970-11-29,Pennsylvania,female,183,125
Brittany,Kulas,1967-07-17,Wisconsin,female,165,100
Antoinette,Steuber,1980-03-16,Wisconsin,female,169,137
Delfina,Kovacek,1974-11-07,Wisconsin,female,183,53
Garth,Schultz,1986-05-06,Oklahoma,female,174,96
Markus,Rutherford,1987-08-16,Louisiana,male,194,71
Lilla,Leannon,1966-09-22,Wisconsin,male,168,73
Cristian,Kling,1964-07-11,Wisconsin,male,152,159
Kennedi,Bruen,1993-10-27,Maine,female,171,57
Delia,Hyatt,1976-01-10,SouthDakota,female,166,95
Ariel,Lueilwitz,1984-06-25,Louisiana,female,162,56
Aditya,Spinka,1969-04-02,Alaska,male,197,89
Tomasa,Gutkowski,1972-02-01,Arizona,female,183,133
Einar,Doyle,1968-12-09,Delaware,female,179,94
Wilhelm,Durgan,1980-11-15,Kentucky,male,174,146
Deshawn,Donnelly,1988-03-15,Iowa,female,165,132
Keaton,O'Hara,1992-06-12,Georgia,female,185,60
Walton,Hamill,1974-07-11,SouthDakota,female,157,66
Agustin,O'Kon,1985-12-20,NewHampshire,female,158,113
Brennon,O'Conner,1989-09-24,Georgia,male,191,149
Caitlyn,Braun,1979-03-23,SouthCarolina,male,190,66
Stone,Reichel,1984-02-22,Alabama,female,172,58
Braeden,Lang,1969-06-28,Ohio,male,177,130
Hassie,Bogan,1987-06-06,Wyoming,female,172,83
Austin,Nader,1981-03-23,Florida,female,168,136
Lonnie,Schneider,1971-05-31,Oklahoma,male,186,59
Reyna,Kuhic,1982-06-08,NewJersey,male,162,137
Newton,Donnelly,1969-07-13,SouthCarolina,female,200,153
Taya,Mills,1969-05-27,Indiana,male,187,62
Adolphus,Lockman,1973-02-12,Georgia,male,176,153
Kara,Towne,1977-02-06,Louisiana,male,186,130
Maryjane,Powlowski,1992-12-19,NewMexico,male,200,68
Reginald,Legros,1972-11-08,Nevada,male,180,128
Frieda,Kunze,1978-07-30,Kentucky,male,199,67
Stefanie,Morar,1978-06-25,Wisconsin,male,188,108
Peggie,Mante,1967-03-26,Indiana,male,169,76
Juwan,Shanahan,1965-08-06,Pennsylvania,male,189,104
Deron,Bednar,1970-05-09,NewHampshire,female,162,103
Grayson,Shanahan,1985-01-04,Colorado,male,195,72
Elva,Welch,1978-02-14,Wyoming,female,154,130
Lew,Konopelski,1964-09-16,Washington,female,160,99
Valentin,Rau,1987-08-01,Wyoming,female,173,97
Gracie,Franecki,1974-12-13,Georgia,female,190,53
Rickie,Medhurst,1993-08-26,Ohio,female,193,50
Graciela,Jaskolski,1970-03-01,NewMexico,male,161,133
Sheldon,Glover,1976-10-16,Washington,male,168,66
Emanuel,Pfannerstill,1978-04-11,SouthCarolina,female,179,151
Gia,Gaylord,1975-01-31,California,male,180,69
Calista,Nikolaus,1968-08-10,WestVirginia,female,177,56
Kim,Bergstrom,1991-06-08,Utah,male,180,67
Myah,Bailey,1982-11-20,Minnesota,female,179,90
Delbert,Keeling,1971-03-05,NewJersey,male,164,141
Mitchell,Schoen,1992-03-30,Washington,male,158,119
Abbie,Spencer,1987-02-06,Virginia,male,187,103
Markus,Hyatt,1964-05-01,Ohio,male,174,127
Jordon,Flatley,1990-09-11,Indiana,male,187,55
Jasmin,Schneider,1992-07-12,Louisiana,male,161,120
Abby,Flatley,1979-10-07,Alabama,male,160,74
Merritt,Becker,1979-05-31,Nebraska,male,184,134
Jerad,Oberbrunner,1971-09-01,Alaska,female,167,89
Lydia,Pagac,1965-09-13,WestVirginia,female,187,153
Kirsten,Lemke,1970-10-01,Oregon,female,179,74
Zane,Wisoky,1991-06-07,NewYork,male,193,92
Porter,Gottlieb,1987-02-14,Montana,female,157,63
Carey,Howell,1983-05-08,Washington,female,173,115
Henderson,Hudson,1980-12-02,Indiana,female,177,86
Barton,Metz,1990-04-25,Arizona,male,188,111
Christelle,Oberbrunner,1978-01-22,Kansas,male,195,134
Norbert,Tillman,1980-10-09,Virginia,male,159,97
Norberto,Turner,1981-04-14,Montana,female,178,135
Ova,Beier,1980-11-22,NorthCarolina,male,154,106
Patsy,Blanda,1990-04-10,Idaho,female,199,59
Gaylord,Goldner,1980-07-12,Montana,male,185,154
Gerardo,Hackett,1982-11-07,Mississippi,male,151,60
Barton,Schmeler,1975-12-26,Wisconsin,female,193,112
Chanelle,Spencer,1973-10-17,SouthCarolina,male,168,60
Jacynthe,Schulist,1985-08-15,Kentucky,female,197,143
Roy,Reilly,1985-03-13,NorthDakota,male,156,130
Marilie,Luettgen,1964-08-09,Washington,female,178,151
Valentina,Klocko,1971-03-31,SouthCarolina,female,187,102
Oswald,Mann,1984-10-20,NewJersey,male,164,111
Virgie,Gerlach,1969-02-16,Iowa,male,188,108
Abraham,Stracke,1965-07-11,Montana,male,172,74
Jessy,Heller,1989-11-09,NewJersey,male,176,77
Mustafa,Lesch,1978-08-28,Alaska,female,186,59
Henry,Harber,1970-08-18,Tennessee,female,175,99
